Keywords,Question (English) ,Allobaby - English,allobaby response English voiceover,Next Question,Next Trigger Question Eng Voiceover,Question (Tamil) ,Allobaby - Tamil,allobaby response tamil voiceover,Next Trigger Question Tamil,Next Trigger Question (Baby Voice over Hindi),Mother’s Question (Hindi – Natural),Allobaby Response (Hindi – Baby Tone),Allobababy_response- Voice(HINDI),Next Trigger Question Hindi,Next Trigger Question (Baby Voice over Hindi),Mother’s Question (Marathi – Natural),Allobaby Response (Marathi – Baby Tone),Allobababy_response- Voice(MARATHI),Next Trigger Question Marathi,Next Trigger Question (Baby Voice over Marathi),Mother’s Question (Gujarathi – Natural),Allobaby Response (Gujarathi – Baby Tone),Gujarathi-English,Allobababy_response- Voice(GUJARATHI),Next Trigger Question Gujarathi,Next Trigger Question Gujarathi-English,Next Trigger Question (Baby Voice over Gujarathi)
infection_signs,What signs might indicate an infection that I should watch out for?,"mommy, signs like fever, severe pain, bad-smelling discharge, or unusual bleeding can indicate infection. Please get checked quickly.",11.mp3,Are you noticing any of these signs?,11.mp3,எந்த அறிகுறிகள் தொற்று இருக்கலாம் என்று காட்டும் — எதை கவனிக்க வேண்டும்?,"அம்மா, காய்ச்சல், கடுமையான வலி, துர்நாற்றம் உள்ள வெளியேற்றம், அசாதாரண இரத்தப்போக்கு இருந்தா அது தொற்று அறிகுறி ஆகலாம். உடனே டாக்டரை பார்க்கணும்.",11.mp3,"அம்மா, இந்த அறிகுறிகள் ஏதாவது உங்களுக்கு தெரிகிறதா?",infection_signs_trig_hi.mp3,कौन से signs infection की तरफ इशारा कर सकते हैं?,"मम्मा, fever, severe pain, bad-smelling discharge या unusual bleeding infection के signs हो सकते हैं। जल्दी check करवाना ज़रूरी है 🩺",infection_signs_hi.mp3,"मम्मी, क्या ये signs तुम्हें दिख रहे हैं?",infection_signs_trig_hi.mp3,infection ची कोणती लक्षणं असू शकतात?,"आई, fever, severe pain, bad-smelling discharge किंवा unusual bleeding ही infection ची लक्षणं असू शकतात. लवकर check करणं गरजेचं आहे 🩺",infection_signs_ma.mp3,"आई, हे signs तुला दिसत आहेत का?",infection_signs_trig_ma.mp3,કયા લક્ષણોથી infection હોઈ શકે છે — શું ધ્યાન રાખવું?,"મા, fever, severe pain, bad-smelling discharge અથવા unusual bleeding એ infectionના લક્ષણ હોઈ શકે છે. વહેલું check કરાવવું જરૂરી છે 🩺","Ma, fever, severe pain, bad-smelling discharge athva unusual bleeding infection na lakshan hoi shake chhe. Vahelu check karavvu jaruri chhe 🩺",infection_signs_gu.mp3,"મમ્મી, આ signs તને દેખાય છે?","Mummy, aa signs tane dekhay chhe?",infection_signs_trig_gu.mp3
coping_stress,How can I slowly cope with feelings of sadness or stress during this time?,"mommy, take it one day at a time… talk to someone you trust, rest, and allow yourself to feel. Healing takes time.",12.mp3,Would you like a few simple ways to feel a little better each day?,12.mp3,இந்த நேரத்தில் மன அழுத்தம் அல்லது துக்கத்தை மெதுவாக எப்படி சமாளிக்கலாம்?,"அம்மா, ஒவ்வொரு நாளா மெதுவாக எடுத்துக்கொள்ளுங்க… நம்பிக்கையுள்ள யாரிடமாவது பேசுங்க, ஓய்வு எடுத்துக்கொள்ளுங்க, உங்க உணர்வுகளை அனுபவிக்க விடுங்க.",12.mp3,"அம்மா, தினமும் கொஞ்சம் கொஞ்சமா நல்லா feel பண்ண சிம்பிள் வழிகள் வேண்டுமா?",coping_stress_trig_hi.mp3,इस समय sadness या stress को धीरे-धीरे कैसे handle करूँ?,"मम्मा, एक-एक दिन करके आगे बढ़ो… किसी भरोसे वाले इंसान से बात करो और खुद को feel करने दो। Healing को समय लगता है 🤍",coping_stress_hi.mp3,"मम्मी, क्या हर दिन थोड़ा बेहतर feel करने के simple तरीके चाहिए?",coping_stress_trig_hi.mp3,या काळात sadness किंवा stress हळूहळू कसा handle करावा?,"आई, एक-एक दिवस करत पुढे जा… विश्वासू व्यक्तीशी बोला आणि स्वतःला feel करू द्या. Healing ला वेळ लागतो 🤍",coping_stress_ma.mp3,"आई, रोज थोडं थोडं better feel करण्यासाठी simple ways हव्यात का?",coping_stress_trig_ma.mp3,આ સમયે stress અથવા sadness કેવી રીતે manage કરવું?,"મા, એક-એક દિવસ આગળ વધો… વિશ્વાસુ વ્યક્તિ સાથે વાત કરો અને તમારી લાગણીઓને અનુભવવા દો. healingમાં સમય લાગે છે 🤍","Ma, ek-ek divas aagal vadho… vishvasu vyakti sathe vaat karo ane tamari laganio ne anubhavva do. Healing ma samay lage chhe 🤍",coping_stress_gu.mp3,"મમ્મી, રોજ થોડું થોડું better feel કરવા માટે simple ways જોઈએ છે?","Mummy, roj thodu thodu better feel karva mate simple ways joie chhe?",coping_stress_trig_gu.mp3
followup_tests,Will I need any follow-up tests to make sure everything is okay?,"mommy, sometimes doctors suggest follow-up check-ups to make sure your body is healing well. It’s a good step for your safety",13.mp3,Have you had a follow-up check yet?,13.mp3,எல்லாம் சரியாக இருக்கிறதா என்பதை உறுதிப்படுத்த மீண்டும் பரிசோதனை தேவையா?,"அம்மா, சில நேரம் டாக்டர்கள் மீண்டும் பரிசோதனை சொல்லலாம்… உடல் சரியாக ஆறுகிறதா பார்க்க. அது பாதுகாப்புக்கு நல்லது.",13.mp3,"அம்மா, பின்தொடர்பு பரிசோதனை செய்தீங்களா?",followup_tests_trig_hi.mp3,क्या मुझे follow-up tests की ज़रूरत पड़ सकती है?,"मम्मा, कभी-कभी doctors follow-up check-ups suggest करते हैं ताकि शरीर ठीक से heal हो रहा है या नहीं, ये देख सकें 💕",followup_tests_hi.mp3,"मम्मी, क्या follow-up check कर लिया है?",followup_tests_trig_hi.mp3,मला follow-up tests करावे लागतील का?,"आई, कधी कधी doctors follow-up check-ups सुचवतात, म्हणजे शरीर व्यवस्थित heal होतंय का ते पाहता येईल 💕",followup_tests_ma.mp3,"आई, follow-up check केलंस का?",followup_tests_trig_ma.mp3,બધું ઠીક છે કે નહીં એ ચેક કરવા ફરી test કરાવવું પડે?,"મા, ક્યારેક doctor follow-up check-ups સૂચવે છે, જેથી શરીર સારી રીતે heal થઈ રહ્યું છે કે નહીં તે જાણી શકાય 💕","Ma, kyarek doctor follow-up check-ups suchve chhe, jethi sharir sari rite heal thai rahyu chhe ke nahi ae janay 💕",followup_tests_gu.mp3,"મમ્મી, follow-up check કરાવ્યું છે?","Mummy, follow-up check karavyu chhe?",followup_tests_trig_gu.mp3
emotional_support,When would it be a good idea to reach out for emotional support or counseling?,"mommy, if you feel overwhelmed, very sad, or unable to cope… it’s okay to seek support anytime. You don’t have to go through this alone.",14.mp3,Would you like help finding someone to talk to?,14.mp3,"மனதளவில் உதவி தேவைப்பட்டால், எப்போது உதவி கேட்கலாம்?","அம்மா, ரொம்ப கஷ்டமா, துக்கமா அல்லது சமாளிக்க முடியல்னு தோன்றினா எப்போதும் உதவி கேட்கலாம். நீங்க இதை தனியா சமாளிக்க வேண்டியதில்லை.",14.mp3,"அம்மா, பேச உதவி செய்ய யாராவது வேண்டுமா?",emotional_support_trig_hi.mp3,emotional support या counseling कब लेना चाहिए?,"मम्मा, अगर बहुत ज़्यादा sadness, stress या अकेलापन महसूस हो… तो कभी भी support लेना ठीक है। आपको ये सब अकेले नहीं झेलना 🤍",emotional_support_hi.mp3,"मम्मी, क्या बात करने के लिए किसी की मदद चाहिए?",emotional_support_trig_hi.mp3,emotional support किंवा counseling कधी घ्यावी?,"आई, जर खूप sadness, stress किंवा एकटेपणा वाटत असेल… तर कधीही support घेणं ठीक आहे. हे सगळं तुम्हाला एकट्याने सहन करायचं नाही 🤍",emotional_support_ma.mp3,"आई, बोलायला कोणाची मदत हवी आहे का?",emotional_support_trig_ma.mp3,જો mental help જોઈએ તો ક્યારે લેવી જોઈએ?,"મા, જો બહુ sadness, stress અથવા એકલતા લાગે… તો મદદ લેવી હંમેશા ઠીક છે. આ બધું તમારે એકલા સહન કરવાનું નથી 🤍","Ma, jo bahu sadness, stress athva ekalta lage… to madad leva hamesha thik chhe. Aa badhu tamare ekla sahen karvanu nathi 🤍",emotional_support_gu.mp3,"મમ્મી, વાત કરવા માટે કોઈની help જોઈએ છે?","Mummy, vaat karva mate koi ni help joie chhe?",emotional_support_trig_gu.mp3
miscarriage_fear,I’m scared whether everything will be okay.,"Don’t be scared, mom, just follow the doctor’s advice and stay calm.",miscarriage_fear_en.mp3,"Mommy, is it normal to feel scared about whether everything will be okay during pregnancy?",miscarriage_fear_en.mp3,எல்லாம் சரியா இருக்கும் தானேனு பயமா இருக்கு.,"அம்மா, பயப்படாதீங்க... doctor advice follow பண்ணிட்டு calmஆ இருங்க ",miscarriage_fear_ta.mp3,"அம்மா, கர்ப்ப காலத்தில் இது சாதாரணமா என்று பயமாக இருக்கிறதா?",miscarriage_fear_trig_hi.mp3,मुझे डर लग रहा है कि सब ठीक होगा या नहीं।,"डरिए मत, माँ, बस डॉक्टर की सलाह मानिए और शांत रहिए।",miscarriage_fear_hi.mp3,"मम्मी, क्या pregnancy में ऐसा feel होना normal है कि सब ठीक होगा या नहीं?",miscarriage_fear_trig_hi.mp3,सगळं ठीक होईल का याची मला भीती वाटते.,"घाबरू नका, आई, फक्त डॉक्टरांचा सल्ला पाळा आणि शांत रहा.",miscarriage_fear_ma.mp3,"आई, pregnancy मध्ये असं वाटणं normal आहे का की सगळं ठीक होईल?",miscarriage_fear_trig_ma.mp3,મને ડર લાગે છે કે બધું બરાબર હશે ને?,"ઘબરાશો નહીં મા, ફક્ત doctorની સલાહ માનો અને શાંત રહો.","Ghabrasho nahi ma, fakt doctor ni salah mano ane shant raho.",miscarriage_fear_gu.mp3,"મમ્મી, pregnancy માં એવું લાગવું normal છે કે બધું ઠીક થશે?","Mummy, pregnancy ma evu lagvu normal chhe ke badhu thik thase?",miscarriage_fear_trig_gu.mp3
miscarriage_bleeding,There is a little spotting.,"You can tell the doctor immediately, mom, and get it checked.",miscarriage_bleeding_en.mp3,"Mommy, is this light spotting something I should tell the doctor about immediately?",miscarriage_bleeding_en.mp3,கொஞ்சம் spotting மாதிரி இருக்கு.,"அம்மா, doctor kitte உடனே சொல்லிட்டு check பண்ணிக்கலாம் ",miscarriage_bleeding_ta.mp3,"அம்மா, இந்த லைட் ஸ்பாட்டிங் பற்றி உடனே டாக்டரிடம் சொல்ல வேண்டுமா?",miscarriage_bleeding_trig_hi.mp3,थोड़ी स्पॉटिंग हो रही है।,"आप तुरंत डॉक्टर को बता सकती हैं, माँ, और जांच करवा सकती हैं।",miscarriage_bleeding_hi.mp3,"मम्मी, क्या ये light spotting डॉक्टर को तुरंत बतानी चाहिए?",miscarriage_bleeding_trig_hi.mp3,थोडे स्पॉटिंग होत आहे.,"तुम्ही लगेच डॉक्टरांना सांगा, आई, आणि तपासणी करून घ्या.",miscarriage_bleeding_ma.mp3,"आई, light spotting डॉक्टरला लगेच सांगायला हवं का?",miscarriage_bleeding_trig_ma.mp3,થોડું spotting જેવું થઈ રહ્યું છે.,તમે તરત doctorને કહો મા અને તપાસ કરાવો.,Tame tarat doctor ne kaho ma ane tapash karavo.,miscarriage_bleeding_gu.mp3,"મમ્મી, આ light spotting doctor ને તરત જણાવવું જોઈએ?","Mummy, aa light spotting doctor ne tarat janavvu joie?",miscarriage_bleeding_trig_gu.mp3
miscarriage_pain,I feel like there is pain in my lower abdomen.,"If there is pain, mom, take rest and ask for doctor’s advice.",miscarriage_pain_en.mp3,"Mommy, is lower abdominal pain something I should rest and get checked for?",miscarriage_pain_en.mp3,கீழ் வயிற்றுல வலிக்குற மாதிரி feel ஆகுது.,"அம்மா, pain இருந்தா rest எடுத்துட்டு doctor advice கேளுங்க ",miscarriage_pain_ta.mp3,"அம்மா, கீழ் வயிற்று வலி இருந்தால் ஓய்வு எடுத்து பரிசோதனை செய்ய வேண்டுமா?",miscarriage_pain_trig_hi.mp3,मुझे निचले पेट में दर्द जैसा महसूस हो रहा है।,"अगर दर्द हो रहा है, माँ, तो आराम करें और डॉक्टर की सलाह लें।",miscarriage_pain_hi.mp3,"मम्मी, क्या lower abdomen pain में rest लेकर check कराना चाहिए?",miscarriage_pain_trig_hi.mp3,खालच्या पोटात दुखत असल्यासारखे वाटते.,"दुखत असेल तर विश्रांती घ्या आणि डॉक्टरांचा सल्ला घ्या, आई.",miscarriage_pain_ma.mp3,"आई, lower abdomen pain असेल तर rest घेऊन check करायला हवं का?",miscarriage_pain_trig_ma.mp3,નીચે પેટમાં દુખાવો જેવું feel થાય છે.,દુખે તો આરામ કરો અને doctorની સલાહ લો મા.,Dukh se to aaram karo ane doctor ni salah lo ma.,miscarriage_pain_gu.mp3,"મમ્મી, lower abdomen pain હોય તો rest લઈને check કરાવવું જોઈએ?","Mummy, lower abdomen pain hoy to rest laine check karavvu joie?",miscarriage_pain_trig_gu.mp3
miscarriage_rest,Everyone is saying I need to be very careful.,"Taking good rest is helpful for your body, mom.",miscarriage_rest_en.mp3,"Mommy, should I be extra careful if everyone is advising me to take rest?",miscarriage_rest_en.mp3,ரொம்ப carefulஆ இருக்கணும்னு எல்லாரும் சொல்றாங்க.,"அம்மா, நல்லா rest எடுத்தா bodyக்கும் நல்லது ",miscarriage_rest_ta.mp3,"அம்மா, எல்லாரும் ரொம்ப கவனமாக இருக்கணும் என்று சொல்றாங்க, இன்னும் கவனம் வேண்டுமா?",miscarriage_rest_trig_hi.mp3,सब लोग कह रहे हैं कि मुझे बहुत सावधान रहना चाहिए।,"अच्छा आराम करना आपके शरीर के लिए फायदेमंद है, माँ।",miscarriage_rest_hi.mp3,"मम्मी, क्या सब लोग कह रहे हैं कि थोड़ा extra care रखना चाहिए?",miscarriage_rest_trig_hi.mp3,सगळे म्हणत आहेत की मला खूप काळजी घ्यावी लागेल.,"चांगली विश्रांती तुमच्या शरीरासाठी उपयुक्त आहे, आई.",miscarriage_rest_ma.mp3,"आई, सगळे म्हणत आहेत की थोडं extra care घ्यायला हवं, बरोबर का?",miscarriage_rest_trig_ma.mp3,બધા કહે છે બહુ ધ્યાન રાખવું પડશે.,સારો આરામ તમારા શરીર માટે લાભદાયી છે મા.,Saru aaram tamara sharir mate labhdayi chhe ma.,miscarriage_rest_gu.mp3,"મમ્મી, બધા કહે છે કે થોડી extra care લેવી જોઈએ, બરાબર?","Mummy, badha kahe chhe ke thodi extra care levi joie, barabar?",miscarriage_rest_trig_gu.mp3
miscarriage_tension,I get stressed even about small things.,"If stress reduces, mom, it’s good for both you and the baby.",miscarriage_tension_en.mp3,"Mommy, is feeling stressed over small things normal during pregnancy?",miscarriage_tension_en.mp3,சின்ன விஷயத்துக்கும் tensionஆ ஆகிடுறேன்.,"அம்மா, stress குறைஞ்சா உங்களுக்கும் babyக்கும் நல்லது ",miscarriage_tension_ta.mp3,"அம்மா, சின்ன சின்ன விஷயங்களுக்கும் ஸ்ட்ரெஸ் ஆகுறது சாதாரணமா?",miscarriage_tension_trig_hi.mp3,मैं छोटी-छोटी बातों पर भी तनाव में आ जाती हूँ।,"अगर तनाव कम होगा, माँ, तो यह आपके और बच्चे दोनों के लिए अच्छा है।",miscarriage_tension_hi.mp3,"मम्मी, क्या छोटी-छोटी बातों पर stress होना normal है?",miscarriage_tension_trig_hi.mp3,लहानसहान गोष्टींवरही मला ताण येतो.,"ताण कमी झाला तर ते तुमच्यासाठी आणि बाळासाठी चांगले आहे, आई.",miscarriage_tension_ma.mp3,"आई, छोट्या छोट्या गोष्टींवर stress येणं normal आहे का?",miscarriage_tension_trig_ma.mp3,નાની વાત પર પણ tension થઈ જાય છે.,તાણ ઓછો થશે તો તે તમારા અને બાળક બંને માટે સારું છે મા.,Taan ochho thase to te tamara ane balak banne mate saaru chhe ma.,miscarriage_tension_gu.mp3,"મમ્મી, નાની નાની વાતો પર stress આવવું normal છે?","Mummy, nani nani vaat par stress avvu normal chhe?",miscarriage_tension_trig_gu.mp3
miscarriage_sleep,I’m not able to sleep properly at night.,"If you rest calmly, mom, you may start feeling a bit better.",miscarriage_sleep_en.mp3,"Mommy, why am I not able to sleep properly at night?",miscarriage_sleep_en.mp3,ராத்திரி தூக்கம் சரியா வரல.,"அம்மா, calmஆ rest எடுத்தா கொஞ்சம் betterஆ feel ஆகலாம் ",miscarriage_sleep_ta.mp3,"அம்மா, இரவில் நல்ல தூக்கம் வரலையா?",miscarriage_sleep_trig_hi.mp3,मुझे रात में ठीक से नींद नहीं आती।,"अगर आप शांत रहकर आराम करेंगी, माँ, तो आपको थोड़ा बेहतर महसूस हो सकता है।",miscarriage_sleep_hi.mp3,"मम्मी, रात को ठीक से नींद क्यों नहीं आ रही?",miscarriage_sleep_trig_hi.mp3,मला रात्री नीट झोप येत नाही.,"शांतपणे विश्रांती घेतली तर तुम्हाला थोडे बरे वाटू शकते, आई.",miscarriage_sleep_ma.mp3,"आई, रात्री नीट झोप का लागत नाही?",miscarriage_sleep_trig_ma.mp3,રાત્રે ઊંઘ સારી નથી આવતી.,શાંત રીતે આરામ કરવાથી તમને થોડી રાહત મળી શકે છે મા.,Shant rite aaram karvathi tamne thodi rahat mali shake chhe ma.,miscarriage_sleep_gu.mp3,"મમ્મી, રાત્રે સારી ઊંઘ કેમ નથી આવતી?","Mummy, ratre sari ungh kem nathi aavti?",miscarriage_sleep_trig_gu.mp3
miscarriage_food,I feel like eating healthy food.,"Healthy food gives strength to your body, mom.",miscarriage_food_en.mp3,"Mommy, is wanting healthy food a good sign for my body right now?",miscarriage_food_en.mp3,healthyஆ சாப்பிடணும் போல தோணுது.,"அம்மா, healthy food bodyக்கு strength தரும் ",miscarriage_food_ta.mp3,"அம்மா, ஆரோக்கியமான உணவு ஆசை வருவது உடலுக்கு நல்ல அறிகுறியா?",miscarriage_food_trig_hi.mp3,मुझे हेल्दी खाना खाने का मन करता है।,"स्वस्थ भोजन आपके शरीर को ताकत देता है, माँ।",miscarriage_food_hi.mp3,"मम्मी, क्या healthy food खाने की इच्छा body के लिए अच्छा sign है?",miscarriage_food_trig_hi.mp3,मला हेल्दी अन्न खावेसे वाटते.,"आरोग्यदायी अन्न तुमच्या शरीराला ताकद देते, आई.",miscarriage_food_ma.mp3,"आई, healthy food खायची इच्छा body साठी चांगली sign आहे का?",miscarriage_food_trig_ma.mp3,હેલ્ધી ખાવાનું મન થાય છે.,સ્વસ્થ ખોરાક તમારા શરીરને શક્તિ આપે છે મા.,Swasth khorak tamara sharir ne shakti aape chhe ma.,miscarriage_food_gu.mp3,"મમ્મી, healthy food ખાવાની ઈચ્છા body માટે સારી sign છે?","Mummy, healthy food khavani ichha body mate sari sign chhe?",miscarriage_food_trig_gu.mp3
miscarriage_hope,I just hope everything goes well.,"Stay positive, mom… with good care, everything will be fine.",miscarriage_hope_en.mp3,"Mommy, will everything be okay if I just stay positive and take care?",miscarriage_hope_en.mp3,எல்லாம் நல்லபடியாக நடக்கணும் என்று நினைக்கிறேன்.,"அம்மா, positiveஆ இருங்க... நல்ல care எடுத்துக்கிட்டா நல்லதுதான் நடக்கும் ",miscarriage_hope_ta.mp3,"அம்மா, பாசிட்டிவா இருந்தா எல்லாம் சரியாகிடும் என்று நம்பலாமா?",miscarriage_hope_trig_hi.mp3,मैं बस चाहती हूँ कि सब कुछ अच्छे से हो जाए।,"सकारात्मक रहें, माँ… अच्छी देखभाल से सब ठीक होगा।",miscarriage_hope_hi.mp3,"मम्मी, क्या positive रहने से सब ठीक हो जाएगा?",miscarriage_hope_trig_hi.mp3,सगळं व्यवस्थित पार पडावं अशीच आशा आहे.,"सकारात्मक रहा, आई… चांगल्या काळजीने सर्व काही ठीक होईल.",miscarriage_hope_ma.mp3,"आई, positive राहिलं तर सगळं ठीक होईल का?",miscarriage_hope_trig_ma.mp3,હું બસ ઈચ્છું છું કે બધું સારું થઈ જાય.,સકારાત્મક રહો મા… સારી કાળજીથી બધું સારું થઈ જશે.,Sakaratmak raho ma… saari kadh thi badhu saaru thai jashe.,miscarriage_hope_gu.mp3,"મમ્મી, positive રહીએ તો બધું ઠીક થઈ જશે?","Mummy, positive rahie to badhu thik thai jashe?",miscarriage_hope_trig_gu.mp3
