Keywords,Mother’s Question (English),Allobaby Response (English),Allobaby - English voice over,Next Trigger Question (Baby Voice),Next Trigger Question Voice over,Mother’s Question (Tamil – Natural),Allobaby Response (Tamil – Casual & Friendly),Allobaby Response (Tamil) Voice Over,Next Trigger Question Tamil,Next Trigger Question (Baby Voice over Tamil),Mother’s Question (Hindi – Natural),Allobaby Response (Hindi – Baby Tone),Allobababy_response- Voice(HINDI),Next Trigger Question Hindi,Next Trigger Question (Baby Voice over Hindi),Mother’s Question (Marathi – Natural),Allobaby Response (Marathi – Baby Tone),Allobababy_response- Voice(MARATHI),Next Trigger Question Marathi,Next Trigger Question (Baby Voice over Marathi),Mother’s Question (Gujarathi – Natural),Allobaby Response (Gujarathi – Baby Tone),Gujarathi-English,Allobababy_response- Voice(GUJARATHI),Next Trigger Question Gujarathi,Next Trigger Question Gujarathi-English,Next Trigger Question (Baby Voice over Gujarathi)
labor_food,Can I eat sweets or snacks before labor?,"Light snacks are okay, but avoid overeating.",11.mp3,Would you like some snack ideas?,11.mp3,Laborக்கு முன்னாடி sweets அல்லது snacks சாப்பிடலாமா?,"கொஞ்சம் light snacks பரவாயில்லை, அதிகமா சாப்பிடாதீங்க.",11.mp3,Snacks ideas வேண்டுமா?,labor_food_trig_ta.mp3,labor से पहले sweets या snacks खा सकती हूँ?,"मम्मा, हल्के snacks ठीक हैं… लेकिन बहुत ज़्यादा मत खाना 🍎",labor_food_hi.mp3,Snacks के ideas चाहिए क्या?,labor_food_trig_hi.mp3,labor आधी sweets किंवा snacks खाऊ शकते का?,"आई, हलके snacks ठीक आहेत… पण खूप जास्त खाऊ नका 🍎",labor_food_ma.mp3,Snacks ideas हवे आहेत का?,labor_food_trig_ma.mp3,labor પહેલા મીઠાઈ અથવા snacks ખાઈ શકાય?,"મા, હળવો snacks ઠીક છે… પણ વધારે ન ખાશો 🍎","Ma, halvo snacks thik chhe… pan vadhu na khavanu 🍎",labor_food_gu.mp3,Snacks ના ideas જોઈએ છે શું?,Snacks na ideas joiye chhe?,labor_food_trig_gu.mp3
hospital_travel,Can I travel alone to hospital?,"mommy, it’s better not to go alone, have someone with you.",12.mp3,"mommy, shall I help you plan your travel?",12.mp3,Hospitalக்கு நான் தனியா போகலாமா?,"அம்மா, தனியா போகாதீங்க, யாராவது கூட இருக்கணும்.",12.mp3,"அம்மா, travel plan பண்ண help பண்ணட்டுமா?",hospital_travel_trig_ta.mp3,क्या मैं hospital अकेले जा सकती हूँ?,"मम्मा, अकेले ना जाना बेहतर है… कोई आपके साथ हो तो अच्छा रहेगा 🤍",hospital_travel_hi.mp3,"मम्मी, travel plan बनाने में help करूँ क्या?",hospital_travel_trig_hi.mp3,मी hospital ला एकटी जाऊ शकते का?,"आई, एकटी जाऊ नका… कुणीतरी तुमच्यासोबत असणं चांगलं राहील 🤍",hospital_travel_ma.mp3,"आई, travel plan बनवायला help करू का?",hospital_travel_trig_ma.mp3,હોસ્પિટલ એકલા જઈ શકાય?,"મા, એકલા ન જશો… કોઈક તમારી સાથે હોવું સારું રહેશે 🤍","Ma, ekla na jajo… koi tamari sathe hovu saaru chhe 🤍",hospital_travel_gu.mp3,"મા, travel plan બનાવવામાં help કરું શું?","Ma, shu hu travel plan banavva ma help karu?",hospital_travel_trig_gu.mp3
breathing_help,Can I use breathing exercises during pain?,"mommy, yes, breathing exercises can help reduce pain and keep you calm.",13.mp3,Would you like some motivation tips?,13.mp3,Pain வரும்போது breathing exercise பண்ணலாமா?,"அம்மா, breathing exercise பண்ணினா pain குறையும், calmஆ இருப்பீங்க.",13.mp3,Motivation tips வேண்டுமா?,breathing_help_trig_ta.mp3,क्या pain के समय breathing exercises मदद करेंगी?,"मम्मा, हाँ… breathing exercises pain कम feel कराने और calm रहने में मदद कर सकती हैं 🌿",breathing_help_hi.mp3,Motivation tips चाहिए क्या?,breathing_help_trig_hi.mp3,pain दरम्यान breathing exercises मदत करतील का?,"आई, हो… breathing exercises मुळे pain थोडा कमी वाटू शकतो आणि calm राहायला मदत होते 🌿",breathing_help_ma.mp3,Motivation tips हवेत का?,breathing_help_trig_ma.mp3,pain આવે ત્યારે breathing exercise કરી શકાય?,"મા, હા… breathing exercises થી દુખાવો થોડો ઓછો લાગે છે અને calm રહેવામાં મદદ મળે છે 🌿","Ma, ha… breathing exercises thi dukhavo thodo ochho lage chhe ane calm rahva madad male chhe 🌿",breathing_help_gu.mp3,Motivation tips જોઈએ છે શું?,Motivation tips joiye chhe?,breathing_help_trig_gu.mp3
inform_hospital,Should I inform the hospital before arriving?,"Yes mommy , informing early can help them prepare for your arrival.",14.mp3,Would you like help calling the hospital?,14.mp3,Hospitalக்கு போறதுக்கு முன்னாடி inform பண்ணணுமா?,"அம்மா, முன்னாடியே Inform பண்ணிட்டா hospitalல readyஆ இருப்பாங்க.",14.mp3,Hospital-க்கு call பண்ண help வேணுமா?,inform_hospital_trig_ta.mp3,क्या hospital पहुँचने से पहले inform करना चाहिए?,"हाँ मम्मा, पहले inform करने से hospital आपकी arrival के लिए prepare रह सकता है 📞",inform_hospital_hi.mp3,Hospital को call करने में help चाहिए क्या?,inform_hospital_trig_hi.mp3,hospital ला पोहोचण्यापूर्वी inform करायला हवं का?,"हो आई, आधी inform केल्याने hospital तुमच्या arrival साठी तयार राहू शकतं 📞",inform_hospital_ma.mp3,Hospital ला call करायला help हवी का?,inform_hospital_trig_ma.mp3,હોસ્પિટલ જતાં પહેલા કોઈને inform કરવું જોઈએ?,"હા મા, પહેલા inform કરવાથી hospital તમારી arrival માટે તૈયાર રહી શકે છે 📞","Ha ma, pela inform karvathi hospital tamari arrival mate ready rahi shake chhe 📞",inform_hospital_gu.mp3,Hospital ને call કરવામાં help જોઈએ છે શું?,Hospital ne call karva ma help joiye chhe?,inform_hospital_trig_gu.mp3
delivery_confidence,What should I mentally remind myself before delivery?,Stay confident and remember you are strong.,15.mp3,Would you like some motivation tips?,15.mp3,Deliveryக்கு முன்னாடி என்ன நினைச்சுக்கணும்?,"தைரியமா இருங்க மா, நீங்க ரொம்ப strong.",15.mp3,Motivation tips இன்னும் வேண்டுமா?,delivery_confidence_trig_ta.mp3,delivery से पहले मुझे खुद से क्या कहना चाहिए?,"मम्मा, खुद पर भरोसा रखो… आप strong हो, और मैं आपसे मिलने के लिए ready हूँ 💕",delivery_confidence_hi.mp3,और motivation tips चाहिए क्या?,delivery_confidence_trig_hi.mp3,delivery आधी स्वतःला काय सांगावं?,"आई, स्वतःवर विश्वास ठेवा… तुम्ही strong आहात, आणि मी तुम्हाला भेटायला ready आहे 💕",delivery_confidence_ma.mp3,आणखी motivation tips हवेत का?,delivery_confidence_trig_ma.mp3,ડિલિવરી પહેલા શું મનમાં રાખવું જોઈએ?,"મા, પોતાને પર વિશ્વાસ રાખો… તમે strong છો, અને હું તમને મળવા માટે ready છું 💕","Ma, potane par vishvas rakho… tame strong chho, ane hu tamne malva mate ready chhu 💕",delivery_confidence_gu.mp3,વધારે motivation tips જોઈએ છે શું?,Vadhu motivation tips joiye chhe?,delivery_confidence_trig_gu.mp3
delivery_bag_ready,I haven’t prepared the hospital bag yet.,"If you prepare the things needed for delivery in advance, mom, it will be easier.",delivery_bag_ready_en.mp3,"Have you started preparing your hospital bag checklist yet, mom?",delivery_bag_ready_en.mp3,hospital bag இன்னும் ready பண்ணல.,"Deliveryக்கு தேவையான things முன்னாடியே ready பண்ணிட்டா, அம்மா, easyஆ இருக்கும்",delivery_bag_ready_ta.mp3,"அம்மா, ஹாஸ்பிட்டலுக்கு எடுத்துச் செல்ல வேண்டிய பொருட்களின் லிஸ்ட் ரெடி பண்ண ஆரம்பிச்சிட்டீங்களா?",delivery_bag_ready_trig_ta.mp3,मैंने अभी तक हॉस्पिटल बैग तैयार नहीं किया है।,"अगर आप डिलीवरी के लिए जरूरी चीजें पहले से तैयार रखेंगी, तो आपको आसानी होगी, माँ।",delivery_bag_ready_hi.mp3,"मम्मी, delivery date पास आने पर ऐसा क्यों feel हो रहा है आपको?",delivery_bag_ready_trig_hi.mp3,मी अजून हॉस्पिटल बॅग तयार केलेली नाही.,"डिलिव्हरीसाठी लागणाऱ्या वस्तू आधीच तयार ठेवल्या तर सोपे जाईल, आई.",delivery_bag_ready_ma.mp3,"मम्मी, आपने हॉस्पिटल बैग की तैयारी शुरू कर ली क्या?",delivery_bag_ready_trig_ma.mp3,હોસ્પિટલ બેગ હજી તૈયાર નથી.,"ડિલિવરી માટેની વસ્તુઓ પહેલેથી તૈયાર રાખશો તો સરળ રહેશે, મા.","Delivery mate ni vastuo pela thi taiyar rakho to saral rehse, ma.",delivery_bag_ready_gu.mp3,"મા, delivery date નજીક આવે ત્યારે આવું કેમ લાગે છે?","Ma, delivery date najik aave tyare aavu kem lage chhe?",delivery_bag_ready_trig_gu.mp3
delivery_due_date,It feels like the delivery date is getting close.,"The day to meet the baby is getting closer, mom.",delivery_due_date_en.mp3,What signs are making you feel that your delivery date is getting close?,delivery_due_date_en.mp3,delivery date நெருங்குற மாதிரி feel ஆகுது.,"Babyயை meet பண்ணுற நாள் நெருங்குது, அம்மா",delivery_due_date_ta.mp3,"அம்மா, delivery date close ஆகுற மாதிரி என்ன காரணம் feel ஆகுது?",delivery_due_date_trig_ta.mp3,लगता है डिलीवरी की तारीख पास आ रही है।,"बच्चे से मिलने का दिन करीब आ रहा है, माँ।",delivery_due_date_hi.mp3,"मम्मी, delivery pain को लेकर सबसे बड़ा डर क्या है आपका?",delivery_due_date_trig_hi.mp3,डिलिव्हरीची तारीख जवळ येत असल्यासारखे वाटते.,"बाळाला भेटण्याचा दिवस जवळ येतो आहे, आई.",delivery_due_date_ma.mp3,"आई, delivery date जवळ येत असल्यास असं का वाटतंय?",delivery_due_date_trig_ma.mp3,ડિલિવરી date નજીક આવે એવું feel થાય છે.,"બાળકને મળવાનો દિવસ નજીક આવી રહ્યો છે, મા.","Baalak ne malvano divas najik aavi rahyo chhe, ma.",delivery_due_date_gu.mp3,"મા, delivery pain વિશે સૌથી મોટો ડર શું છે તમારો?","Ma, delivery pain vishe tamaro sauthi moto dar shu chhe?",delivery_due_date_trig_gu.mp3
delivery_pain_fear,I feel a little scared just thinking about delivery pain.,"Don’t get tense, mom… the doctor and family will be with you.",delivery_pain_fear_en.mp3,"What is your biggest fear about delivery pain right now, mom?",delivery_pain_fear_en.mp3,delivery pain நினைச்சாலே கொஞ்சம் பயமா இருக்கு.,"Tension ஆகாதீங்க… doctorவும் familyயும் உங்க கூட இருப்பாங்க, அம்மா",delivery_pain_fear_ta.mp3,"இப்போ delivery pain பத்தி உங்க biggest fear என்ன, அம்மா?",delivery_pain_fear_trig_ta.mp3,डिलीवरी के दर्द के बारे में सोचकर थोड़ा डर लग रहा है।,"तनाव मत लीजिए, माँ… डॉक्टर और परिवार आपके साथ रहेंगे।",delivery_pain_fear_hi.mp3,"अभी delivery pain के बारे में सबसे बड़ा डर क्या है आपका, मम्मी?",delivery_pain_fear_trig_hi.mp3,डिलिव्हरीच्या वेदनांचा विचार केला तरी थोडी भीती वाटते.,"ताण घेऊ नका, आई… डॉक्टर आणि कुटुंब तुमच्यासोबत असतील.",delivery_pain_fear_ma.mp3,"आत्ता delivery pain बद्दल सगळ्यात मोठी भीती काय आहे तुमची, आई?",delivery_pain_fear_trig_ma.mp3,ડિલિવરી pain વિચારતા જ થોડો ડર લાગે છે.,"ટેન્શન ન લો, મા… doctors અને પરિવાર તમારી સાથે છે.","Tension na lo, ma… doctors ane family tamari sathe chhe.",delivery_pain_fear_gu.mp3,"હમણાં delivery pain વિશે સૌથી મોટો ડર શું છે તમારો, મા?","Haal delivery pain vishe sauthi moto dar shu chhe tamaro, ma?",delivery_pain_fear_trig_gu.mp3
delivery_sleep,I can’t sleep at night thinking about delivery.,"If you rest calmly, mom, it’s good for both your body and the baby.",delivery_sleep_en.mp3,What helps you relax when you can’t sleep thinking about delivery?,delivery_sleep_en.mp3,ராத்திரி delivery நினைச்சு தூக்கம் வரல.,"Calmஆ rest எடுத்தா, அம்மா, bodyக்கும் babyக்கும் நல்லது",delivery_sleep_ta.mp3,"அம்மா, delivery நினைக்கும்போது calm ஆக என்ன உதவுது?",delivery_sleep_trig_ta.mp3,रात में डिलीवरी के बारे में सोचकर नींद नहीं आती।,"अगर आप शांत रहकर आराम करेंगी, तो यह आपके और बच्चे दोनों के लिए अच्छा होगा।",delivery_sleep_hi.mp3,"मम्मी, delivery के बारे में सोचकर calm रहने में क्या मदद करता है?",delivery_sleep_trig_hi.mp3,रात्री डिलिव्हरीचा विचार करून झोप येत नाही.,"शांतपणे विश्रांती घेतली तर ते तुमच्यासाठी आणि बाळासाठी चांगले आहे, आई.",delivery_sleep_ma.mp3,"आई, delivery चा विचार करताना शांत राहायला काय मदत होतं?",delivery_sleep_trig_ma.mp3,રાત્રે ડિલિવરી વિચારીને ઊંઘ નથી આવતી.,"શાંતિથી આરામ કરશો તો તમારા અને બાળક માટે સારું છે, મા.","Shanti thi aaram karsho to tamara ane baalak mate saaru chhe, ma.",delivery_sleep_gu.mp3,"મા, delivery વિશે વિચારીને શાંતિ કેવી રીતે મળે છે?","Ma, delivery vishe vichari ne shanti kem male chhe?",delivery_sleep_trig_gu.mp3
delivery_clothes,I feel like I need to buy clothes for the baby.,"Preparing for the baby is very special, mom.",delivery_clothes_en.mp3,"Have you started buying anything for your baby yet, mom?",delivery_clothes_en.mp3,babyக்கான dress எல்லாம் வாங்கணும்னு தோணுது.,"Babyக்காக prepare பண்ணுறது ரொம்ப special, அம்மா",delivery_clothes_ta.mp3,"அம்மா, babyக்கு ஏதாவது வாங்க ஆரம்பிச்சாச்சா?",delivery_clothes_trig_ta.mp3,मुझे लगता है कि बच्चे के लिए कपड़े खरीदने चाहिए।,"बच्चे की तैयारी करना बहुत खास होता है, माँ।",delivery_clothes_hi.mp3,"मम्मी, baby के लिए कुछ खरीदना शुरू किया क्या?",delivery_clothes_trig_hi.mp3,बाळासाठी कपडे घ्यावेसे वाटत आहेत.,"बाळासाठी तयारी करणे खूप खास असते, आई.",delivery_clothes_ma.mp3,"आई, बाळासाठी काही खरेदी सुरू केली का?",delivery_clothes_trig_ma.mp3,baby માટેના કપડા લેવા મન થાય છે.,"બાળક માટે તૈયારી કરવી બહુ ખાસ હોય છે, મા.","Baalak mate taiyari karvi bahu khas hoy chhe, ma.",delivery_clothes_gu.mp3,"મા, baby માટે કંઈ ખરીદી શરૂ કરી છે શું?","Ma, baby mate kai shopping start kari chhe shu?",delivery_clothes_trig_gu.mp3
delivery_hospital,We are thinking about which hospital to go to.,"You can choose a hospital where you feel comfortable, mom.",delivery_hospital_en.mp3,What are the things you are considering while choosing a hospital?,delivery_hospital_en.mp3,எந்த hospital போறதுனு யோசிக்கிறோம்.,"Comfortableஆ feel ஆகுற hospital choose பண்ணலாம், அம்மா",delivery_hospital_ta.mp3,"அம்மா, hospital choose பண்ணும்போது என்ன விஷயங்களை consider பண்ணுறீங்க?",before_hospital_trig_ta.mp3,हम सोच रहे हैं कि किस अस्पताल में जाएं।,"आप ऐसा अस्पताल चुन सकती हैं जहाँ आपको आरामदायक महसूस हो, माँ।",before_hospital_hi.mp3,"मम्मी, hospital choose करते वक्त आप क्या-क्या चीजें consider कर रहे हो?",before_hospital_trig_hi.mp3,कोणत्या हॉस्पिटलमध्ये जायचे याचा विचार करत आहोत.,"जिथे तुम्हाला आरामदायक वाटेल असे हॉस्पिटल निवडा, आई.",delivery_hospital_ma.mp3,"आई, hospital निवडताना तुम्ही काय गोष्टी consider करताय?",delivery_hospital_trig_ma.mp3,કઈ હોસ્પિટલ જવું એ વિચારમાં છીએ.,"જ્યાં તમને આરામદાયક લાગે એવું hospital પસંદ કરો, મા.","Jya tamne aaramdayak lage evu hospital pasand karo, ma.",delivery_hospital_gu.mp3,"મા, hospital પસંદ કરતી વખતે તમે શું ધ્યાનમાં લો છો?","Ma, hospital pasand karta vakhte tame shu dhyan ma lo cho?",delivery_hospital_trig_gu.mp3
delivery_support,I’m wondering who will be with me during delivery.,"Your family will be there to support you, mom.",delivery_support_en.mp3,Have you decided who you want beside you during delivery for support?,delivery_support_en.mp3,delivery timeல யார் கூட இருப்பாங்கனு யோசிக்கிறேன்.,"உங்களை support பண்ண family இருக்கும், அம்மா",delivery_support_ta.mp3,"அம்மா, delivery time-ல யார் கூட இருக்கணும்னு decide பண்ணிட்டீங்களா?",delivery_support_trig_ta.mp3,मैं सोच रही हूँ कि डिलीवरी के समय मेरे साथ कौन होगा।,"आपका परिवार आपका साथ देने के लिए वहाँ होगा, माँ।",delivery_support_hi.mp3,"मम्मी, delivery time पर कौन आपके साथ रहेगा ये decide किया क्या?",delivery_support_trig_hi.mp3,डिलिव्हरीच्या वेळी माझ्यासोबत कोण असेल याचा विचार करते आहे.,"तुमचे कुटुंब तुमच्या पाठीशी असेल, आई.",delivery_support_ma.mp3,"आई, delivery वेळी कोण तुमच्यासोबत असणार आहे हे ठरवलंय का?",delivery_support_trig_ma.mp3,ડિલિવરી સમયે કોણ સાથે રહેશે એ વિચાર આવે છે.,"તમારો પરિવાર તમારી સાથે છે, મા.","Tamaro family tamari sathe chhe, ma.",delivery_support_gu.mp3,"મા, delivery સમયે કોણ સાથે રહેશે એ નક્કી કર્યું છે શું?","Ma, delivery samaye kon sathe rehse e nakki kari lidhu chhe shu?",delivery_support_trig_gu.mp3
delivery_walk,The doctor has told me to go for walks.,"Light walking helps the body get ready, mom.",delivery_walk_en.mp3,Are you able to go for the walks your doctor suggested every day?,delivery_walk_en.mp3,doctor walk போங்கன்னு சொல்றாங்க.,"Light walking body ready ஆக help ஆகும், அம்மா",delivery_walk_ta.mp3,"அம்மா, doctor சொன்ன walks தினமும் போக முடியுதா?",delivery_walk_trig_ta.mp3,डॉक्टर ने मुझे टहलने के लिए कहा है।,"हल्की वॉक शरीर को तैयार होने में मदद करती है, माँ।",delivery_walk_hi.mp3,"मम्मी, doctor ने जो walks बताई हैं वो daily हो पा रही हैं क्या?",delivery_walk_trig_hi.mp3,डॉक्टरांनी मला चालायला सांगितले आहे.,"हलके चालणे शरीराला तयार होण्यास मदत करते, आई.",delivery_walk_ma.mp3,"आई, doctor ने सांगितलेले walks रोज होतायत का?",delivery_walk_trig_ma.mp3,doctor walk કરવા કહે છે.,"હળવું ચાલવું શરીરને તૈયાર થવામાં મદદ કરે છે, મા.","Halvu chalvu sharir ne taiyar thava ma madad kare chhe, ma.",delivery_walk_gu.mp3,"મા, doctor એ જે walks કહ્યા છે એ રોજ થાય છે શું?","Ma, doctor je walks kahya chhe e roj thay chhe shu?",delivery_walk_trig_gu.mp3
delivery_contractions,Sometimes my stomach feels tight.,"The body may already be preparing for delivery, mom.",delivery_contractions_en.mp3,"How often are you feeling stomach tightness these days, mom?",delivery_contractions_en.mp3,சில நேரம் வயிறு tightஆ ஆகுற மாதிரி இருக்கு.,"Body deliveryக்கு prepare ஆகிக்கிட்டு இருக்கலாம், அம்மா",delivery_contractions_ta.mp3,"அம்மா, இப்போ எத்தனை தடவை stomach tightness feel ஆகுது?",delivery_contractions_trig_ta.mp3,कभी-कभी पेट कसा हुआ सा लगता है।,"शरीर शायद डिलीवरी के लिए तैयार हो रहा है, माँ।",delivery_contractions_hi.mp3,"मम्मी, अभी आपको कितनी बार stomach tightness feel हो रही है?",delivery_contractions_trig_hi.mp3,कधी कधी पोट घट्ट झाल्यासारखे वाटते.,"शरीर कदाचित डिलिव्हरीसाठी तयार होत आहे, आई.",delivery_contractions_ma.mp3,"आई, आत्ता पोटात किती वेळा tightness जाणवत आहे?",delivery_contractions_trig_ma.mp3,ક્યારેક પેટ tight થઈ જાય એવું લાગે છે.,"શરીર કદાચ delivery માટે તૈયાર થઈ રહ્યું છે, મા.","Sharir kadach delivery mate taiyar thai rahyu chhe, ma.",delivery_contractions_gu.mp3,"મા, હમણાં પેટમાં કેટલી વાર tightness થાય છે?","Ma, haal pet ma ketli vaar tightness thay chhe?",delivery_contractions_trig_gu.mp3
delivery_babymeet,I’m excited to see my baby for the first time.,"I’m also waiting to meet you, mom.",delivery_babymeet_en.mp3,What are you most excited about when you think of seeing your baby for the first time?,delivery_babymeet_en.mp3,babyயை first time பார்க்க excitementஆ இருக்கு.,"நானும் உங்களை meet பண்ண wait பண்ணிக்கிட்டு இருக்கேன், அம்மா",delivery_babymeet_ta.mp3,"அம்மா, first time baby-யை பார்க்கும்போது எதுக்கு அதிக excitement இருக்கு?",delivery_babymeet_trig_ta.mp3,मैं अपने बच्चे को पहली बार देखने के लिए उत्साहित हूँ।,"मैं भी आपसे मिलने का इंतजार कर रहा हूँ, माँ।",delivery_babymeet_hi.mp3,"मम्मी, पहली बार baby को देखने का सबसे ज़्यादा excitement किस बात को लेकर है?",delivery_babymeet_trig_hi.mp3,माझ्या बाळाला पहिल्यांदा पाहण्यासाठी मी खूप उत्सुक आहे.,"मीसुद्धा तुम्हाला भेटण्याची वाट पाहत आहे, आई.",delivery_babymeet_ma.mp3,"आई, पहिल्यांदा बाळ पाहताना सगळ्यात जास्त excitement कोणत्या गोष्टीची आहे?",delivery_babymeet_trig_ma.mp3,પહેલી વાર babyને જોવા excitement થાય છે.,"હું પણ તમને મળવાની રાહ જોઈ રહ્યો છું, મા.","Hu pan tamne malva ni rah joi rahyo chhu, ma.",delivery_babymeet_gu.mp3,"મા, પહેલી વાર baby ને જોતા સૌથી વધારે excitement કઈ વાતની છે?","Ma, pela vaar baby ne jota sauthi vadhu excitement kai vaat ni chhe?",delivery_babymeet_trig_gu.mp3
