Keywords,Mother’s Question (English),Allobaby Response (English),Allobaby Response (English) Voiceover,Next Trigger Question,Next Trigger Question(English),Mother’s Question (Tamil – Natural),Allobaby Response (Tamil – Casual & Friendly),Allobaby Response (tamil) Voiceover,Next Trigger Question Tamil,Next Trigger Question (Baby Voice over Tamil),Mother’s Question (Hindi – Natural),Allobaby Response (Hindi – Baby Tone),Allobababy_response- Voice(HINDI),Next Trigger Question Hindi,Next Trigger Question (Baby Voice over Hindi),Mother’s Question (Marathi – Natural),Allobaby Response (Marathi – Baby Tone),Allobababy_response- Voice(MARATHI),Next Trigger Question Marathi,Next Trigger Question (Baby Voice over Marathi),Mother’s Question (Gujarathi – Natural),Allobaby Response (Gujarathi – Baby Tone),Gujarathi-English,Allobababy_response- Voice(GUJARATHI),Next Trigger Question Gujarathi,Next Trigger Question Gujarathi-English,Next Trigger Question (Baby Voice over Gujarathi)
something_wrong,I feel like something is wrong with me,"Nothing is “wrong” with you, mommy… you’re going through a lot. But it’s important to talk to a doctor or someone you trust.",11.mp3,Shall we reach out for support?,11.mp3,எனக்கு என்னமோ ஏதோ சரியில்லாம இருக்குற மாதிரி feel ஆகுது.,உங்கள்ல எந்த தவறும் இல்ல அம்மா… நீங்க நிறைய changes பாத்துட்டு இருக்கீங்க. ஆனா டாக்டர் அல்லது நம்பிக்கையுள்ள யாரிடமாவது பேசுங்க அம்மா.,11.mp3,கொஞ்சம் support காக யாரையாவது reach out பண்ணலாமா?,something_wrong_trig_ta.mp3,मुझे लगता है मेरे साथ कुछ गलत है,"मम्मा, आपके साथ कुछ “गलत” नहीं है… आप बहुत कुछ महसूस कर रही हो। लेकिन doctor या किसी भरोसे वाले इंसान से बात करना ज़रूरी है 🤍",something_wrong_hi.mp3,थोड़ा support के लिए किसी से reach out करें?,something_wrong_trig_gu.mp3,मला वाटतं माझ्यात काहीतरी बरोबर नाही,"आई, तुमच्यात काही “चूक” नाही… तुम्ही खूप काही अनुभवत आहात. पण doctor किंवा विश्वासू व्यक्तीशी बोलणं महत्त्वाचं आहे 🤍",something_wrong_ma.mp3,थोड्या support साठी कुणाशी reach out करूया का?,something_wrong_trig_ma.mp3,મને એવું કેમ લાગે છે કે કંઈક તો ઠીક નથી.,તમામાં કોઈ ભૂલ નથી મા… તમે ઘણા બદલાવમાંથી પસાર થઈ રહ્યા છો. પણ ડોક્ટર અથવા કોઈ વિશ્વાસુ વ્યક્તિ સાથે વાત કરો મા.,Tamara ma koi bhul nathi ma… tame ghana badlav mathi pasar thai rahya chho. Pan doctor athva koi vishvasi vyakti sathe vaat karo ma.,something_wrong_gu.mp3,થોડા support માટે કોઈને reach out કરીએ?,Thoda support mate koi ne reach out kariye?,something_wrong_trig_gu.mp3
poor_sleep,I can’t sleep properly,"Sleep can be affected, mommy… try relaxing before sleep and keeping your mind calm.",12.mp3,Want a bedtime routine?,12.mp3,என்னால சரியா தூங்க முடியல.,தூக்கம் கொஞ்சம் பாதிக்கலாம் அம்மா… தூங்குறதுக்கு முன்னாடி மனசை calm ஆக்க try பண்ணுங்க.,12.mp3,ஒரு simple bedtime routine try பண்ணலாமா?,poor_sleep_trig_ta.mp3,मुझे ठीक से नींद नहीं आ रही,"मम्मा, pregnancy में नींद प्रभावित हो सकती है… सोने से पहले थोड़ा relax करने की कोशिश करो 😴",poor_sleep_hi.mp3,एक simple bedtime routine try करें?,poor_sleep_trig_gu.mp3,मला नीट झोप लागत नाही,"आई, pregnancy मध्ये झोप प्रभावित होऊ शकते… झोपण्याआधी थोडं relax होण्याचा प्रयत्न करा 😴",poor_sleep_ma.mp3,एक simple bedtime routine try करूया का?,poor_sleep_trig_ma.mp3,મને સારી ઊંઘ કેમ નથી આવતી?,ઊંઘ થોડી અસર થઈ શકે છે મા… સૂતા પહેલા મન શાંત કરવાનો પ્રયત્ન કરો.,Ungh thodi asar thai shake chhe ma… suta pela man shant karvano prayas karo.,poor_sleep_gu.mp3,એક simple bedtime routine try કરીએ?,Ek simple bedtime routine try kariye?,poor_sleep_trig_gu.mp3
daily_stress,I feel very stressed daily,"Daily stress can build up, mommy… talking to someone and taking small breaks helps.",13.mp3,Shall we plan small breaks?,13.mp3,தினமும் ரொம்ப stressஆ இருக்கு,"தினமும் stress அதிகமா இருக்கும் அம்மா… யாரிடமாவது பேசினா, கொஞ்சம் break எடுத்தா helpful ஆ இருக்கும்.",13.mp3,நாள்ல கொஞ்சம் small breaks plan பண்ணலாமா?,daily_stress_trig_ta.mp3,मुझे रोज़ बहुत stress feel होता है,"मम्मा, रोज़ का stress धीरे-धीरे बढ़ सकता है… थोड़ा break लेना और किसी से बात करना मदद करेगा 💛",daily_stress_hi.mp3,दिन में छोटे छोटे breaks plan करें?,daily_stress_trig_gu.mp3,मला रोज खूप stress वाटतो,"आई, रोजचा stress हळूहळू वाढू शकतो… थोडा break घेणं आणि कुणाशी बोलणं मदत करेल 💛",daily_stress_ma.mp3,दिवसभरात छोटे छोटे breaks plan करूया का?,daily_stress_trig_ma.mp3,દરરોજ બહુ સ્ટ્રેસ લાગે છે,"દરરોજ stress વધારે લાગે છે મા… કોઈ સાથે વાત કરવી, થોડો break લેવો મદદરૂપ થઈ શકે છે.","Darek divas stress vadhu lage chhe ma… koi sathe vaat karvi, thodu break levu upyogi thai shake chhe.",daily_stress_gu.mp3,દિવસમાં નાના નાના breaks plan કરીએ?,Divas ma nana nana breaks plan kariye?,daily_stress_trig_gu.mp3
crying_no_reason,I feel like crying without reason,"That happens sometimes, mommy… your emotions are adjusting. But if it continues, let’s speak to a doctor.",14.mp3,Shall we talk to a doctor?,14.mp3,காரணம் இல்லாம அழணும் போல இருக்கு,சில சமயம் காரணம் இல்லாம அழணும் போல இருக்கும் அம்மா… அது normal. ஆனா தொடர்ந்து இருந்தா Doctorட சொல்லுங்க அம்மா.,14.mp3,Doctor கிட்ட பேசலாமா?,crying_no_reason_trig_ta.mp3,मुझे बिना वजह रोने जैसा लगता है,"मम्मा, कभी-कभी emotions ऐसे बदलते हैं… लेकिन अगर ये लगातार हो रहा है, तो doctor से बात करना अच्छा रहेगा 🥺",crying_no_reason_hi.mp3,क्या doctor से बात करें?,crying_no_reason_trig_gu.mp3,मला कारण नसताना रडू येतं,"आई, कधी कधी emotions असे बदलतात… पण हे सतत होत असेल तर doctor शी बोलणं चांगलं राहील 🥺",crying_no_reason_ma.mp3,Doctor शी बोलूया का?,crying_no_reason_trig_ma.mp3,કારણ વગર રડવાનું મન કેમ થાય છે?,ક્યારેક કારણ વગર રડવાનું મન થાય છે મા… એ સામાન્ય છે. પણ જો સતત રહે તો ડોક્ટરને જણાવો મા.,Kyarek karan vagar radvanu man thay chhe ma… ae samanya chhe. Pan jo satat rehse to doctor ne janavo ma.,crying_no_reason_gu.mp3,Doctor સાથે વાત કરીએ?,Doctor sathe vaat kariye?,crying_no_reason_trig_gu.mp3
pregnancy_fear_unknown,Why do I feel scared about things I can’t even explain?,"During pregnancy, hormonal changes and uncertainty can cause unexplained fear or anxiety.",pregnancy_fear_unknown_en.mp3,Would you like to know simple ways to ease fear and feel more secure during pregnancy?,pregnancy_fear_unknown_trig_en.mp3,ஏன் Reason-ஏ இல்லாம பயமா இருக்கு,"கர்ப்ப காலத்துல hormones change ஆகுறதால, future பற்றிய uncertainty காரணமா எந்த reason இல்லாம பயம் அல்லது anxiety feel ஆகலாம்.",pregnancy_fear_unknown_ta.mp3,கர்ப்ப காலத்தில் வரும் பயம் குறையவும் கொஞ்சம் secure ஆ feel ஆகவும் simple வழிகள் தெரிஞ்சிக்கணுமா?,pregnancy_fear_unknown_trig_ta.mp3,मुझे बिना किसी reason के डर सा क्यों लग रहा है?,Pregnancy में hormones बदलने और future की uncertainty की वजह से बिना reason के डर या anxiety हो सकती है।,pregnancy_fear_unknown_hi.mp3,"Pregnancy में जो डर या insecurity feel होती है, उसे कम करने के simple ways जानना चाहती हैं?",pregnancy_fear_unknown_trig_gu.mp3,काहीच reason नसताना मला भीती का वाटतेय?,गर्भधारणेदरम्यान hormones बदलल्यामुळे आणि future बद्दल uncertainty असल्यामुळे कारण नसताना भीती किंवा anxiety वाटू शकते.,pregnancy_fear_unknown_ma.mp3,Pregnancy मध्ये येणारी भीती कमी व्हावी आणि थोडं secure feel व्हावं यासाठी simple ways जाणून घ्यायचेत का?,pregnancy_fear_unknown_trig_ma.mp3,કારણ વગર ડર કેમ લાગે છે?,pregnancy દરમિયાન hormones બદલાતા હોવાથી future વિશે uncertaintyના કારણે કારણ વગર ડર અથવા anxiety લાગવી સામાન્ય છે.,Pregnancy darmiyan hormones badlata hovani karane future vishe uncertainty na karane karan vagar dar athva anxiety lagvu samanya chhe.,pregnancy_fear_unknown_gu.mp3,Pregnancy દરમિયાન આવતો ડર ઓછો થાય અને થોડું secure feel થાય એ માટે simple ways જાણવું છે?,Pregnancy darmiyan aavto dar ochho thay ane thodu secure feel thay e mate simple ways jaanvu che?,pregnancy_fear_unknown_trig_gu.mp3
regnancy_confidence_drop,Why has my confidence reduced during pregnancy?,"Confidence may drop due to body changes, fatigue, and hormonal shifts.",regnancy_confidence_drop_en.mp3,Want small confidence-building tips for body and mood changes?,regnancy_confidence_drop_trig_en.mp3,self-confidence ஏன் குறைஞ்ச மாதிரி இருக்கு?,"body changes, tiredness, hormones மாற்றம் இதெல்லாம் காரணமா confidence குறைஞ்ச மாதிரி feel ஆகலாம்.",regnancy_confidence_drop_ta.mp3,உடல் மாற்றங்களும் mood changes-உம் handle பண்ண confidence கூட்ட சின்ன tips வேண்டுமா?,regnancy_confidence_drop_trig_ta.mp3,मेरा self-confidence क्यों कम सा लग रहा है?,"body में changes, थकान और hormonal shifts की वजह से confidence कम सा लग सकता है।",regnancy_confidence_drop_hi.mp3,Body changes और mood changes handle करने के लिए confidence बढ़ाने वाले छोटे tips चाहिए?,regnancy_confidence_drop_trig_gu.mp3,माझा self-confidence का कमी झाल्यासारखा वाटतोय?,"body मधले बदल, थकवा आणि hormones बदल यामुळे confidence कमी झाल्यासारखं वाटू शकतं.",regnancy_confidence_drop_ma.mp3,Body changes आणि mood changes handle करायला confidence वाढवणारे छोटे tips हवेत का?,regnancy_confidence_drop_trig_ma.mp3,self-confidence કેમ ઓછું થઈ ગયું છે?,"body changes, થાક અને hormones બદલાવના કારણે self-confidence ઓછું લાગવું સામાન્ય છે.","Body changes, thaak ane hormones badlav na karane self-confidence ochhu lagvu samanya chhe.",regnancy_confidence_drop_gu.mp3,Body changes અને mood changes handle કરવા confidence વધારતા નાના tips જોઈએ?,Body changes ane mood changes handle karva confidence vadharta nana tips joie?,regnancy_confidence_drop_trig_gu.mp3
pregnancy_overthinking_baby,Why do I keep worrying too much about the baby’s health?,Worrying about the baby is common and usually comes from protective instincts and concern.,pregnancy_overthinking_baby_en.mp3,Would you like to talk about the worries you have about your baby?,pregnancy_overthinking_baby_trig_en.mp3,குழந்தை பற்றி நான் ஏன் ரொம்ப அதிகமா worry பண்ணுறேன்?,"குழந்தை பற்றி அதிகம் worry பண்ணுறது ரொம்ப normal, அது protective instinct மற்றும் care காரணமா வரும்.",pregnancy_overthinking_baby_ta.mp3,குழந்தையைப் பற்றிய உங்க கவலைகளைப் பற்றி பேசணுமா?,pregnancy_overthinking_baby_trig_ta.mp3,मैं बच्चे को लेकर इतना ज्यादा worry क्यों कर रही हूँ?,"बच्चे को लेकर ज्यादा चिंता करना बिल्कुल normal है, ये protective instinct और care की वजह से होता है।",pregnancy_overthinking_baby_hi.mp3,"Baby को लेकर जो worries हैं, उनके बारे में बात करना चाहती हैं?",pregnancy_overthinking_baby_trig_gu.mp3,बाळाबद्दल मी इतकी जास्त काळजी का करतेय?,"बाळाबद्दल जास्त काळजी करणं हे खूप normal आहे, ते protective instinct आणि चिंता यामुळे होतं.",pregnancy_overthinking_baby_ma.mp3,Baby बद्दलच्या तुमच्या worries बद्दल बोलायचंय का?,pregnancy_overthinking_baby_trig_ma.mp3,બાળક વિશે હું એટલી વધારે ચિંતા કેમ કરું છું?,"બાળક વિશે વધારે ચિંતા કરવી બહુ સામાન્ય છે, તે protective instinct અને care કારણે થાય છે.","Baalak vishe vadhu chinta karvi bahu samanya chhe, te protective instinct ane care karane thay chhe.",pregnancy_overthinking_baby_gu.mp3,Baby વિશે જે worries છે એ વિશે વાત કરવી છે?,Baby vishe je worries che e vishe vaat karvi che?,pregnancy_overthinking_baby_trig_gu.mp3
pregnancy_mind_fatigue,Why does my mind feel tired all the time?,"Mental fatigue happens due to hormonal changes, stress, and poor sleep.",pregnancy_mind_fatigue_en.mp3,Want simple ways to reduce mental fatigue and feel more refreshed?,pregnancy_mind_fatigue_trig_en.mp3,என் மனசு ஏன் எப்பவும் tired-ஆ feel ஆகுது?,"hormones change, stress, தூக்கம் குறைஞ்சது இதெல்லாம் காரணமா மனசு ரொம்ப tired-ஆ feel ஆகலாம்.",pregnancy_mind_fatigue_ta.mp3,Mental tiredness குறையவும் கொஞ்சம் fresh ஆ feel ஆகவும் simple வழிகள் try பண்ணலாமா?,pregnancy_mind_fatigue_trig_ta.mp3,मेरा mind हमेशा tired सा क्यों लग रहा है?,"hormones changes, stress और कम नींद की वजह से mind में काफी fatigue महसूस हो सकता है।",pregnancy_mind_fatigue_hi.mp3,Mental tiredness कम करके थोड़ा fresh feel करने के simple ways try करें?,pregnancy_mind_fatigue_trig_gu.mp3,माझं mind नेहमी tired का वाटतंय?,"hormones बदल, stress आणि झोप कमी झाल्यामुळे mental fatigue जाणवू शकतो.",pregnancy_mind_fatigue_ma.mp3,Mental tiredness कमी करून थोडं fresh feel व्हावं यासाठी simple ways try करूया का?,pregnancy_mind_fatigue_trig_ma.mp3,મારું મન હંમેશા થાકેલું કેમ લાગે છે?,"hormones બદલાવ, stress અને ઊંઘ ઓછી થવાથી મન બહુ થાકેલું લાગે છે.","Hormones badlav, stress ane ungh ochhi thavathi man bahu thakelun lage chhe.",pregnancy_mind_fatigue_gu.mp3,Mental tiredness ઓછું કરીને થોડું fresh feel થાય એ માટે simple ways try કરીએ?,Mental tiredness ochhu kari ne thodu fresh feel thay e mate simple ways try kariye?,pregnancy_mind_fatigue_trig_gu.mp3
pregnancy_emotional_balance,Why is it hard to feel emotionally balanced during pregnancy?,Emotional balance becomes difficult because pregnancy hormones affect mood regulation.,pregnancy_emotional_balance_en.mp3,Would you like easy tips to manage mood swings and emotional balance?,pregnancy_emotional_balance_trig_en.mp3,என் emotions ஏன் balance ஆகவே மாட்டேங்குது,pregnancy hormones mood regulate பண்ணுற system-ஐ affect பண்ணுறதால emotions balance பண்ண முடியாம போகலாம்.,pregnancy_emotional_balance_ta.mp3,Mood swings மற்றும் emotional balance handle பண்ண easy tips வேண்டுமா?,pregnancy_emotional_balance_trig_ta.mp3,मेरे emotions क्यों balance नहीं हो रहे हैं?,"pregnancy hormones mood को regulate करने वाले system पर असर डालते हैं, इसलिए emotions balance रखना मुश्किल हो सकता है।",pregnancy_emotional_balance_hi.mp3,Mood swings और emotional balance handle करने के easy tips चाहिए?,pregnancy_emotional_balance_trig_gu.mp3,माझे emotions का balance होत नाहीत?,"pregnancy hormones mood regulate करणाऱ्या system वर effect करतात, त्यामुळे emotions balance ठेवणं कठीण होतं.",pregnancy_emotional_balance_ma.mp3,Mood swings आणि emotional balance handle करायला easy tips हवेत का?,pregnancy_emotional_balance_trig_ma.mp3,મારી emotions કેમ balance નથી રહેતી?,"pregnancy hormones mood regulate કરનારી system ને અસર કરે છે, એટલે emotions balance રાખવા મુશ્કેલ બને છે.","Pregnancy hormones mood regulate karni system ne affect kare chhe, etle emotions balance rakhva mushkil bane chhe.",pregnancy_emotional_balance_gu.mp3,Mood swings અને emotional balance handle કરવા easy tips જોઈએ?,Mood swings ane emotional balance handle karva easy tips joie?,pregnancy_emotional_balance_trig_gu.mp3
pregnancy_feeling_heavy_emotions,Why do emotions feel too heavy to handle in pregnancy?,Emotions feel heavy due to increased sensitivity and hormonal changes during pregnancy.,pregnancy_feeling_heavy_emotions_en.mp3,Want to try gentle ways to handle overwhelming emotions during pregnancy?,pregnancy_feeling_heavy_emotions_trig_en.mp3,feelings ஏன் ரொம்ப heavy-ஆ handle பண்ண முடியாத மாதிரி இருக்கு?,hormones மாற்றம் மற்றும் sensitivity அதிகமாதல emotions ரொம்ப heavy-ஆ feel ஆகலாம்.,pregnancy_feeling_heavy_emotions_ta.mp3,Pregnancyல overwhelming ஆக வரும் feelings handle பண்ண gentle ways try பண்ணலாமா?,pregnancy_feeling_heavy_emotions_trig_ta.mp3,feelings इतनी heavy क्यों लग रही हैं कि handle करना मुश्किल हो रहा है?,hormones और sensitivity बढ़ने की वजह से feelings बहुत heavy लग सकती हैं।,pregnancy_feeling_heavy_emotions_hi.mp3,Pregnancy में overwhelming feelings को handle करने के gentle ways try करें?,pregnancy_feeling_heavy_emotions_trig_gu.mp3,feelings इतक्या heavy का वाटतात की handle करायला अवघड जातंय?,hormones बदल आणि sensitivity वाढल्यामुळे feelings खूप heavy वाटू शकतात.,pregnancy_feeling_heavy_emotions_ma.mp3,Pregnancy मध्ये overwhelming feelings handle करायला gentle ways try करूया का?,pregnancy_feeling_heavy_emotions_trig_ma.mp3,feelings એટલી heavy કેમ લાગે છે કે handle કરવી મુશ્કેલ લાગે છે?,hormones બદલાવ અને વધારે sensitivityના કારણે emotions બહુ ભારે લાગવા લાગે છે.,Hormones badlav ane vadhu sensitivity na karane emotions bahu bhare lagva lage chhe.,pregnancy_feeling_heavy_emotions_gu.mp3,Pregnancy દરમિયાન overwhelming feelings handle કરવા gentle ways try કરીએ?,Pregnancy darmiyan overwhelming feelings handle karva gentle ways try kariye?,pregnancy_feeling_heavy_emotions_trig_gu.mp3
