Keywords,Question (English) ,Allobaby - English,Allobaby - English voice over,Next Question,Trigger Question Voice Over,Question (Tamil) ,Allobaby - Tamil,Allobaby - Tamil Voice over,Next Trigger Question Tamil,Next Trigger Question (Baby Voice over Tamil),Mother’s Question (Hindi – Natural),Allobaby Response (Hindi – Baby Tone),Allobababy_response- Voice(HINDI),Next Trigger Question Hindi,Next Trigger Question (Baby Voice over Hindi),Mother’s Question (Marathi – Natural),Allobaby Response (Marathi – Baby Tone),Allobababy_response- Voice(MARATHI),Next Trigger Question Marathi,Next Trigger Question (Baby Voice over Marathi),Mother’s Question (Gujarathi – Natural),Allobaby Response (Gujarathi – Baby Tone),Gujarathi-English,Allobababy_response- Voice(GUJARATHI),Next Trigger Question Gujarathi,Next Trigger Question Gujarathi-English,Next Trigger Question (Baby Voice over Gujarathi)
illness_warning,How can I tell early if an illness is getting serious?,"mommy, if symptoms get worse, don’t improve, or new symptoms appear, it could mean the illness is becoming serious. Trust your feeling and check early.",11.mp3,Do you want to track your symptoms daily in a simple way?,11.mp3,ஒரு நோயின் பிரச்சனைகளை ஆரம்பத்திலேயே எப்படி கண்டுபிடிப்பது?,"அம்மா, அறிகுறிகள் அதிகமா ஆகுறது, இல்ல புதிய அறிகுறிகள் வந்தா அது சீரியஸா மாறுது என்பதற்கான அறிகுறி. சந்தேகம் இருந்தா உடனே டாக்டர பார்க்கலாம்.",11.mp3,"மம்மி, symptoms-ஐ daily track பண்ண ஒரு simple method வேண்டுமா?",illness_warning_trig_ta.mp3,बीमारी गंभीर हो रही है ये शुरुआत में कैसे पता चले?,"मम्मा, अगर symptoms बढ़ने लगें, ठीक ना हों, या नए symptoms आएँ, तो जल्दी check करवाना बेहतर है। अपने feelings पर भरोसा करो 🤍",illness_warning_hi.mp3,"मम्मी, क्या symptoms को रोज track करने का simple तरीका चाहिए?",illness_warning_trig_hi.mp3,आजार गंभीर होत आहे हे सुरुवातीलाच कसं ओळखायचं?,"आई, जर symptoms वाढत असतील, बरे होत नसतील किंवा नवीन symptoms दिसत असतील, तर लवकर check करणं चांगलं. तुमच्या feelings वर विश्वास ठेवा 🤍",illness_warning_ma.mp3,"आई, symptoms रोज track करायला simple पद्धत हवी का?",illness_warning_trig_ma.mp3,કોઈ બીમારીના problem શરૂઆતમાં કેવી રીતે ઓળખી શકાય?,"મા, લક્ષણો વધતા જાય અથવા નવા લક્ષણો આવે તો એ serious બનતું હોય છે. શંકા હોય તો તરત ડોક્ટરને બતાવવું.","mummi, jo lakshano vadhe athva nava lakshano dekhay, to te gambhir bani jay chhe. jo shankaa hoy, to tatkalik doctorne malo.",illness_warning_gu.mp3,"મમ્મી, symptoms રોજ track કરવા માટે simple રીત જોઈએ છે?","Mummy, symptoms roj track karva mate simple rit joie chhe?",illness_warning_trig_gu.mp3
urine_changes_alert,What do changes in urine color or pain indicate during pregnancy?,"If my mommy sees urine color change or feels pain while peeing, it might mean an infection or that I need more water, mommy.",urine_changes_alert_en.mp3,"Mommy, is my urine color change or pain while peeing something to worry about?",urine_changes_alert_trig_en.mp3,urine Colour மாறினா அல்லது Urine போகும்போது வலி இருந்தா அது என்ன அர்த்தம்?,"Urine நிறம் மாறினா இல்லனா pee போகும்போது வலி இருந்தா, அது infection இருக்கலாம் அம்மா இல்லனா தண்ணி குறைஞ்சிருக்கலாம் அம்மா.",urine_changes_alert_ta.mp3,"மம்மி, urine color change ஆகுறது அல்லது urine போகும்போது வலி இருக்குதா — கவலைப்படணுமா?",urine_changes_alert_trig_ta.mp3,"अगर urine का रंग बदल जाए या पेशाब करते समय दर्द हो, तो इसका मतलब infection या dehydration हो सकता है।","अगर urine का रंग बदल जाए या पेशाब करते समय दर्द हो, तो infection हो सकता है या body में पानी की कमी हो सकती है, mom.",urine_changes_alert_hi.mp3,"मम्मी, क्या पेशाब का रंग बदलना या जलन होना चिंता की बात है?",urine_changes_alert_trig_hi.mp3,urine चा रंग बदलला किंवा लघवी करताना दुखत असेल तर ते infection किंवा dehydration चे लक्षण असू शकते.,"urine चा रंग बदलला किंवा pee करताना दुखत असेल तर infection असू शकतं किंवा शरीरात पाणी कमी झालं असेल, mom.",urine_changes_alert_ma.mp3,"आई, लघवीचा रंग बदलणं किंवा लघवी करताना जळजळ होणं चिंता करण्यासारखं आहे का?",urine_changes_alert_trig_ma.mp3,urine નો રંગ બદલાય અથવા પેશાબ કરતી વખતે દુખાવો થાય તો એનો અર્થ શું?,urine નો રંગ બદલાય અથવા પેશાબ કરતી વખતે દુખાવો થાય તો infection હોઈ શકે છે મા અથવા શરીરમાં પાણીની કમી હોઈ શકે છે.,"jo tamara peshabno rang badalay athva peshab karti vakhate dukhavo thay, to te chep hoi shake chhe, mummi, athva sharirma pani ni kami hoi shake chhe.",urine_changes_alert_gu.mp3,"મમ્મી, urine નો રંગ બદલાયો છે કે પેશાબ કરતી વખતે બળતરા થાય છે — ચિંતા કરવાની વાત છે?","Mummy, urine no rang badlayo chhe ke peshab karti vakhte balatar thay chhe — chinta karva jevu chhe?",urine_changes_alert_trig_gu.mp3
severe_itching,Can severe itching during pregnancy be a warning sign?,"If mommy feels very strong itching, it could be a sign something in the body needs a doctor’s check, mommy.",severe_itching_en.mp3,"Mommy, is strong itching in my body normal or should I get it checked?",severe_itching_trig_en.mp3,ரொம்ப itching இருந்தா அது danger sign-ஆ இருக்குமா?,"ரொம்ப itching இருந்தா, உடம்புல ஏதோ check பண்ணணும்னு doctor-க்கு காட்டணும் போல இருக்கலாம் அம்மா.",severe_itching_ta.mp3,"மம்மி, உடம்புல அதிக itching இருக்குதா — doctorக்கு காட்டணுமா?",severe_itching_trig_ta.mp3,"अगर बहुत ज्यादा itching हो रही है, तो यह कभी-कभी liver या skin-related problem का warning sign हो सकता है।","अगर बहुत ज्यादा itching हो, तो body में कुछ check करवाने की जरूरत हो सकती है, doctor को दिखाना चाहिए, mom.",severe_itching_hi.mp3,"मम्मी, क्या बहुत ज्यादा खुजली हो रही है — doctor को दिखाना चाहिए?",severe_itching_trig_hi.mp3,खूप जास्त itching असेल तर ते कधी कधी liver किंवा skin problem चा warning sign असू शकतो.,"खूप जास्त itching असेल तर body मध्ये काहीतरी check करायला लागेल, doctor ला दाखवायला हवं, mom.",severe_itching_ma.mp3,"आई, शरीरात खूप खाज येतेय का — doctor ला दाखवायला हवं का?",severe_itching_trig_ma.mp3,ખૂબ itching થાય તો એ danger sign છે?,"ખૂબ itching થાય તો શરીરમાં કંઈક ચેક કરાવવાની જરૂર હોઈ શકે છે, એટલે ડોક્ટરને બતાવવું સારું છે મા.","jo khoob khanjval aave, to sharirma kaink tapasvani jarur padi shake chhe, tethi doctorne malvun saru chhe, mummi.",severe_itching_gu.mp3,"મમ્મી, શરીરમાં બહુ ખંજવાળ આવે છે — doctor ને બતાવવું જોઈએ?","Mummy, sharir ma bahu khanjvav aave chhe — doctor ne batavvu joie?",severe_itching_trig_gu.mp3
water_leakage,What does sudden fluid leakage mean during pregnancy?,"If water suddenly leaks, mommy, it may mean I’m getting ready to come out early or something needs urgent care.",water_leakage_en.mp3,"Mommy, did my water leak suddenly — is this something urgent?",water_leakage_trig_en.mp3,திடீர்னு fluid leak ஆகினா அதுக்கு என்ன அர்த்தம்?,"திடீர்னு தண்ணி மாதிரி fluid leak ஆனா, நான் சீக்கிரம் வர தயாராகுறேன்னு இருக்கலாம் அம்மா இல்லனா urgent care தேவைப்படலாம் அம்மா.",water_leakage_ta.mp3,"மம்மி, தண்ணீர் திடீர்னு கசியுதா — இது emergencyயா?",water_leakage_trig_ta.mp3,अचानक fluid leak होना water break या pregnancy complication का संकेत हो सकता है।,"अगर अचानक पानी जैसा fluid leak हो, तो इसका मतलब हो सकता है कि delivery जल्दी शुरू होने वाली है या urgent care की जरूरत है, mom.",water_leakage_hi.mp3,"मम्मी, क्या अचानक पानी लीकेज हुआ — ये emergency है?",water_leakage_trig_hi.mp3,अचानक fluid leak झाला तर ते water break किंवा pregnancy complication चे लक्षण असू शकते.,"अचानक पाणी सारखं fluid leak झालं तर delivery लवकर सुरू होणार असेल किंवा urgent care लागेल, mom.",water_leakage_ma.mp3,"आई, अचानक पाणी गळतंय का — हे emergency आहे का?",water_leakage_trig_ma.mp3,અચાનક fluid leak થાય તો એનો અર્થ શું?,અચાનક પાણી જેવું fluid leak થાય તો ક્યારેક labor નજીક આવી રહ્યું હોઈ શકે છે અથવા urgent check જરૂરી હોઈ શકે છે મા.,"jo pani jevu achanak fluid leak thay, to kyarek prasuti najik aavi shake chhe athva tatkalik tapas jaruri hoi shake chhe, mummi.",water_leakage_gu.mp3,"મમ્મી, અચાનક પાણી લીક થયું છે — આ emergency છે?","Mummy, achanak pani leak thayu chhe — aa emergency chhe?",water_leakage_trig_gu.mp3
early_labor_signs,ow can I identify early signs of preterm labor?,"If mommy feels regular tight pains, back pain, or pressure, it could be early labor signs, mommy.",early_labor_signs_en.mp3,"Mommy, are these regular tight pains or back pressure signs of early labor?",early_labor_signs_trig_en.mp3,labor ஆரம்ப signs-ஐ எப்படி கண்டுபிடிக்கலாம்?,"அடிக்கடி tight pain, back pain இல்லனா pressure feel ஆனா, அது early labor signs இருக்கலாம் அம்மா.",early_labor_signs_ta.mp3,"மம்மி, இடைவிடாத tight pain அல்லது back pressure labor signஆ இருக்கா?",early_labor_signs_trig_ta.mp3,"labor के शुरुआती signs में regular contractions, पेट दर्द, back pain और pressure महसूस होना शामिल हो सकता है।","अगर बार-बार tight pain, back pain या pressure महसूस हो, तो ये early labor के signs हो सकते हैं, mom.",early_labor_signs_hi.mp3,"मम्मी, क्या तेज tight pain या back pressure labor का sign हो सकता है?",early_labor_signs_trig_hi.mp3,"labor ची सुरुवातीची signs म्हणजे regular contractions, पोटात दुखणं, पाठदुखी आणि pressure जाणवणं.","वारंवार tight pain, पाठदुखी किंवा pressure वाटत असेल तर early labor चे signs असू शकतात, mom.",early_labor_signs_ma.mp3,"आई, पोटात सतत tight pain किंवा back pressure labor sign असू शकतो का?",early_labor_signs_trig_ma.mp3,labor શરૂ થવાના signs કેવી રીતે ઓળખવા?,"વારંવાર tight pain, પીઠનો દુખાવો અથવા pressure લાગે તો એ early labor ના signs હોઈ શકે છે મા.","jo tamne varamvar kadak dukhavo, pithno dukhavo athva dabaan lage, to te praarambhik prasuti naa sanketo hoi shake chhe, mummi.",early_labor_signs_gu.mp3,"મમ્મી, સતત tight pain અથવા back pressure labor નો sign હોઈ શકે?","Mummy, satat tight pain ke back pressure labor no sign hoi shake?",early_labor_signs_trig_gu.mp3
vision_changes_warning,Are sudden vision changes dangerous in pregnancy?,"If mommy’s vision suddenly changes, it can be a warning that her body needs quick medical attention.",vision_changes_warning_en.mp3,"Mommy, why did my vision suddenly change — should we call the doctor?",vision_changes_warning_trig_en.mp3,திடீர்னு பார்வை மாறினா அது ஆபத்தா?,"திடீர்னு பார்வை மாறினா, உடனே doctor பார்த்துக்கணும் போல ஒரு warning ஆக இருக்கலாம் அம்மா.",vision_changes_warning_ta.mp3,"மம்மி, திடீர்னு vision change ஆகுதா — doctorக்கு உடனே போகணுமா?",vision_changes_warning_trig_ta.mp3,अचानक नजर (vision) बदलना high blood pressure या pregnancy complication का संकेत हो सकता है।,"अगर अचानक नजर बदल जाए, तो ये एक warning sign हो सकता है और तुरंत doctor को दिखाना चाहिए, mom.",vision_changes_warning_hi.mp3,"मम्मी, क्या अचानक vision change हुआ — doctor को दिखाना चाहिए?",vision_changes_warning_trig_hi.mp3,अचानक दृष्टी (vision) बदलणे हे high blood pressure किंवा pregnancy complication चे लक्षण असू शकते.,"अचानक vision बदललं तर ते warning sign असू शकतं आणि लगेच doctor ला दाखवायला हवं, mom.",vision_changes_warning_ma.mp3,"आई, अचानक vision change झाला का — doctor ला लगेच दाखवायचं का?",vision_changes_warning_trig_ma.mp3,અચાનક vision બદલાય તો એ ખતરનાક છે?,અચાનક vision બદલાય તો એ warning sign હોઈ શકે છે… તરત ડોક્ટરને બતાવવું.,"jo tamari drashti achanak badalai jay, to te chetavanino sanket hoi shake chhe... tamare tatkalik doctorne malvun joiae.",vision_changes_warning_gu.mp3,"મમ્મી, અચાનક vision change થયું છે — doctor ને તરત બતાવવું જોઈએ?","Mummy, achanak vision change thayu chhe — doctor ne tarat batavvu joie?",vision_changes_warning_trig_gu.mp3
abdominal_swelling_abnormal,When is unusual abdominal swelling a concern?,"If mommy’s tummy suddenly swells too much, it might mean something is not normal and should be checked.",abdominal_swelling_abnormal_en.mp3,"Mommy, is my tummy swelling too much suddenly normal?",abdominal_swelling_abnormal_trig_en.mp3,வயிறு அளவுக்கு அதிகமா வீங்குறது ஆபத்தா?,"வயிறு ரொம்ப திடீர்னு வீங்கினா, அது normal இல்லாம இருக்கலாம் அம்மா, check பண்ணணும் அம்மா.",abdominal_swelling_abnormal_ta.mp3,"மம்மி, tummy திடீர்னு ரொம்ப swell ஆகுதா — normalஆ?",abdominal_swelling_abnormal_trig_ta.mp3,पेट का बहुत ज्यादा फूलना या swelling होना कभी-कभी problem का संकेत हो सकता है।,"अगर पेट बहुत अचानक ज्यादा फूल जाए, तो ये normal नहीं हो सकता और check करवाना चाहिए, mom.",abdominal_swelling_abnormal_hi.mp3,"मम्मी, क्या पेट अचानक बहुत ज्यादा सूज गया है?",abdominal_swelling_abnormal_trig_hi.mp3,पोट खूप जास्त फुगणं किंवा swelling होणं हे कधी कधी problem चे संकेत असू शकतात.,"पोट अचानक खूप फुगलं तर ते normal नसू शकतं आणि check करायला हवं, mom.",abdominal_swelling_abnormal_ma.mp3,"आई, पोट अचानक खूप सूजलंय का?",abdominal_swelling_abnormaltrig_trig_ma.mp3,પેટ બહુ વધારે ફૂલી જાય તો એ જોખમ છે?,પેટ અચાનક બહુ વધારે ફૂલી જાય તો એ normal ન હોઈ શકે… check કરાવવું જોઈએ મા.,"jo pet achanak khoob fuli jay, to te saamanya na pan hoy... mummi, tamare teni tapas karavvi joiae.",abdominal_swelling_abnormal_gu.mp3,"મમ્મી, પેટ અચાનક બહુ સૂજી ગયું છે?","Mummy, pet achanak bahu suji gayu chhe?",abdominal_swelling_abnormal_trig_gu.mp3
persistent_abdominal_pain,When is constant stomach pain during pregnancy a warning sign?,"If mommy has constant tummy pain, it’s not okay, mommy, and she should tell the doctor.",persistent_abdominal_pain_en.mp3,"Mommy, should I worry about constant tummy pain?",persistent_abdominal_pain_trig_en.mp3,கர்ப்ப காலத்துல constant-ஆ வயிறு வலி இருந்தா அது warning sign-அ?,"constant-ஆ வயிறு வலி இருந்தா அது சரி இல்ல அம்மா, doctor-க்கு சொல்லணும் அம்மா.",persistent_abdominal_pain_ta.mp3,"மம்மி, தொடர்ந்து வயிற்று வலி இருக்குதா — கவலைப்படணுமா?",persistent_abdominal_pain_trig_ta.mp3,"लगातार पेट दर्द होना normal नहीं होता, यह warning sign हो सकता है।","अगर लगातार पेट दर्द रहे, तो ये ठीक नहीं है mom, doctor को बताना चाहिए.",persistent_abdominal_pain_hi.mp3,"मम्मी, क्या लगातार पेट दर्द हो रहा है?",persistent_abdominal_pain_trig_hi.mp3,"सतत पोटदुखी होणं normal नसतं, ते warning sign असू शकतं.","सतत पोटदुखी असेल तर ते ठीक नाही mom, doctor ला सांगायला हवं.",persistent_abdominal_pain_ma.mp3,"आई, सतत पोटदुखी होतेय का?",persistent_abdominal_pain_trig_ma.mp3,pregnancy દરમિયાન સતત પેટનો દુખાવો રહે તો એ warning sign છે?,constant પેટનો દુખાવો રહે તો એ ઠીક નથી મા… ડોક્ટરને જણાવવું જોઈએ.,"jo petma satat dukhavo rahe, to te thik nathi, mummi... tamare doctorne kahevu joiae.",persistent_abdominal_pain_gu.mp3,"મમ્મી, સતત પેટમાં દુખાવો થાય છે?","Mummy, satat pet ma dukhavo thay chhe?",persistent_abdominal_pain_trig_gu.mp3
persistent_diarrhea,When does diarrhea become risky during pregnancy?,"If diarrhea lasts long or makes mommy weak, it can be risky for both of us, mommy.",vision_changes_warning_en.mp3,"Mommy, is long-lasting diarrhea making me weak dangerous for us?",vision_changes_warning_trig_en.mp3,diarrhea கர்ப்ப காலத்துல எப்போ risky ஆகும்?,"diarrhea ரொம்ப நாளா இருந்து weakness வந்தா, அது நம்ம இருவருக்கும் risky ஆகலாம் அம்மா.",vision_changes_warning_ta.mp3,"மம்மி, நீண்ட நேர diarrhea இருந்து weakness வருதா — dangerஆ?",vision_changes_warning_trig_ta.mp3,diarrhea अगर ज्यादा समय तक चले या dehydration हो जाए तो यह risky हो सकता है।,"अगर diarrhea लंबे समय तक रहे और कमजोरी आ जाए, तो ये हम दोनों के लिए risky हो सकता है, mom.",vision_changes_warning_hi.mp3,"मम्मी, क्या लंबे समय से diarrhea से कमजोरी आ रही है?",vision_changes_warning_trig_hi.mp3,diarrhea जास्त काळ चालू राहिला किंवा dehydration झाला तर तो risky ठरू शकतो.,"diarrhea खूप दिवस चालू राहिला आणि weakness आली तर ते आपल्यासाठी risky असू शकतं, mom.",vision_changes_warning_ma.mp3,"आई, जास्त दिवस diarrhea होऊन weakness येतेय का?",vision_changes_warning_trig_ma.mp3,diarrhea pregnancy માં ક્યારે risky બને છે?,લાંબા સમય સુધી diarrhea રહે અને weakness આવે તો તે જોખમ બની શકે છે મા.,"jo zada lamba samay sudhi chalu rahe ane nablai aave, to te khatarnak bani shake chhe, mummi.",vision_changes_warning_gu.mp3,"મમ્મી, લાંબો સમય diarrhea થી weakness આવી રહી છે?","Mummy, lambo samay diarrhea thi weakness aavi rahi chhe?",vision_changes_warning_trig_gu.mp3
severe_chills,Can chills or shivering indicate serious infection in pregnancy?,"If mommy feels chills or shivering, it might mean infection, and she should get help quickly, mommy.",severe_chills_en.mp3,"Mommy, are chills or shivering a sign of infection?",severe_chills_trig_en.mp3,குளிர் காய்ச்சல் மாதிரி நடுக்கம் வந்தா அது serious infection ஆக இருக்குமா?,"குளிர் காய்ச்சல் மாதிரி நடுக்கம் வந்தா infection இருக்கலாம் அம்மா, உடனே help தேவை அம்மா.",severe_chills_ta.mp3,"மம்மி, chills அல்லது shivering infection signஆ இருக்குமா?",severe_chills_trig_ta.mp3,ठंड लगकर कंपकंपी (chills) आना infection का संकेत हो सकता है और इसे गंभीरता से लेना चाहिए।,"अगर ठंड लगकर कंपकंपी आए, तो infection हो सकता है mom, और तुरंत help लेनी चाहिए.",severe_chills_hi.mp3,"मम्मी, क्या ठंड लगना या shivering infection का sign हो सकता है?",severe_chills_trig_hi.mp3,थंडी वाजून कापरे येणं हे infection चे लक्षण असू शकतं आणि ते गंभीरपणे घ्यायला हवं.,"थंडी वाजून कापरे आले तर infection असू शकतं mom, आणि लगेच help घ्यायला हवी.",severe_chills_ma.mp3,"आई, थंडी वाजणे किंवा shivering infection चं लक्षण असू शकतं का?",severe_chills_trig_ma.mp3,ઠંડી લાગીને કંપારી સાથે તાવ આવે તો એ serious infection હોઈ શકે છે?,ઠંડી લાગીને કંપારી સાથે તાવ આવે તો infection હોઈ શકે છે મા… તરત help લેવી જોઈએ.,"jo tamne sardi ane dhrujari saathe taav aave, to te chep hoi shake chhe... tamare tatkalik madad levi joiae.",severe_chills_gu.mp3,"મમ્મી, ઠંડી લાગવી કે shivering infection નું લક્ષણ હોઈ શકે?","Mummy, thandi lagvi ke shivering infection nu lakshan hoi shake?",severe_chills_trig_gu.mp3
